AT2-like,AT1-like,HPSC,Endoderm-like,Ribosomal,EMT,Adv
Mitf,Akap13,Ets2,Il18,Rpl10a-ps1,Slc37a2,2310009B15Rik
Sftpc,Gm37376,Erdr1,Mns1,Rps12-ps3,Tiam2,Vwa5a
Aldh1l1,9930012K11Rik,Slc7a1,Thrb,Rpl38-ps2,Adamts7,Per2
Npw,Arl4c,Llph,Fam167a,Gm10260,Steap1,Znrf1
Zfp131,Fam174b,Aff4,Kif11,Rpl14-ps1,Kcnf1,Tmem213
Tmem164,Trp53bp2,Kdm6b,Ypel2,Rps24-ps3,Fbln2,Slc41a1
C3,Emp2,Cdcp1,Gm26908,Rpl32,Steap3,A930004D18Rik
Sftpa1,Klhl24,Ddx21,Bub1,Rps8,Gatm,Il1r1
Ldlr,Unc13d,Utp14a,Flcn,Rps20,Mmd,Lpin3
mt-Atp6,Hdac7,Irf6,Gm29340,Tmsb4x,Obsl1,Kat2b
Irx1,Lmo7,Krt8-ps,Mybl2,Rpl10-ps3,Abcb1a,Gm15406
Napsa,Slc25a36,Smndc1,Tmeff2,Rpl18,Kirrel3,Gclc
Gdnf,Gm11168,Itgav,Slamf9,Rpl14,Ncs1,Sil1
Igsf9b,Cgn,Tnfrsf23,Spag5,Rps23,Lgals1,Lrp4
Il33,Svil,Efna5,Cideb,Gm7536,Gfra1,Chst15
Rnase4,Ndnf,Ptbp3,Mctp1,Gm10163,Tcf7,Tead3
Crnde,Gm26870,Usp6nl,Hist2h3c2,Fau,Maf,Efna3
Slco4c1,Ssh1,Kctd13,Msrb2,Rpl24,Sned1,9530077C05Rik
Mfsd2a,Pcnt,Malt1,Gcom1,Rps6,Lsp1,Sccpdh
Sftpd,Akap8l,Stk17b,Rad51,Rpl13a,Cthrc1,Zfp995
Gpx8,Bcam,Ptpn23,Kifc2,Gm10250,Prkg2,Tpst1
Tnfaip1,Aqp5,Rap2b,Scn8a,Rps19,Mturn,Gm8741
Rnf187,Clstn1,Lad1,Nsl1,Ftl1,Cercam,Ptpn9
Dhrs3,Malat1,Abt1,Zfp691,Rpl10,Ank,Ifitm3
Psmb8,Bmpr2,Nfkb2,Padi4,Rpl4,Htra3,Gpr160
Ptprf,Clic5,Sertad2,Cdc6,Gm43028,Iffo1,Tmem189
Abhd5,Myl6,Sh3d19,Rtl1,Rpl19,Htra1,Gm12854
Scp2-ps2,Rin2,Tnfrsf10b,Crygn,Rps6-ps4,Gabre,Wdr25
Slc10a6,Gm10717,Nras,Kif20b,Rplp0,Pdgfc,Sema4a
Lyz2,Pkp2,Wipf2,Dtx3,Rpl23,Ap1s2,Mbd2
Lpl,Cd81,Ubr2,Gm37326,Rpl9-ps7,P4ha3,Ces1e
,Icam1,Cyth2,Plk4,Rpl27a,Ltbp4,Col6a1
Sult1a1,Sema3e,Ankrd12,Pik3r3,Gm10275,Pdlim4,Hp
,Myl12a,Mapk6,Dysf,Gm7331,Klra1,Col6a2
Ier2,Nsun4,Slc6a9,Aunip,Rps27a,Prune2,A130010J15Rik
,Arhgap44,Cldn7,Zfas1,Rpl38,Ptpru,Mapkapk2
Cytip,9930111J21Rik2,Trip10,Bst1,Rps9,Plpp3,Foxo1
,Cavin2,Mnt,Fbxo5,Rplp2,Lix1l,Gm7665
Gm6166,Scnn1a,Tead1,AI464131,Rps26-ps1,Spred3,Golph3
,Pdlim2,Kif5b,Gm19705,Rps23-ps1,Lrp1,Large1
Adora2b,Npnt,Atf5,Kif4,Rpl3-ps1,Anxa8,Cox20
,Tfdp2,Cep120,Slc35c2,Rpl9-ps6,Pxdn,Proc
H2-DMb2,Laptm4a,Ccnl1,Gm12892,Rps15a,S100a4,Gm8783
,Nkx2-1,Esyt2,Kif2c,Rps4x,Fxyd5,Tk2
Bex4,Sema3b,Rhbdf1,Heatr1,Rpl18a,Acsbg1,Mtch1
,Lhfp,Gmeb1,Star,Gm9385,Fam84a,Gm15889
Itih4,Ece1,Ppp4r3b,Ercc6l,Rpl13,Map2k6,Bend7
,Sirt2,Prrg4,Myh13,Rpl26,Gpm6b,Pmm1
2610028H24Rik,Zfp36l1,Ago2,Parp16,Rpl27-ps3,Sept5,Eif5a2
,Gm21738,Utrn,Lockd,Atp6v1g1,Prrx2,Naip5
Lifr,Gm10801,Atxn1,Mirg,Rpl6,Rem2,Gm7334
,Tsc2,Gm7809,Sept4,Tpt1,Jam2,Acacb
Uvrag,Ctnnd1,Poldip3,Cenpm,Rps3,Egfr,Rps15a-ps8
,Cldn3,Gm42899,Helz,Rpl21,Cd1d1,Gm15421
Pnrc1,Gm10800,Src,Atg4a,Rps16,Hmga2,Muc5ac
,Stard13,Ahctf1,Parpbp,Tpt1-ps3,Aqp1,Lpcat4
Acoxl,Nectin2,Areg,Dmkn,Rpl41,Tpbg,Gm4742
,4930523C07Rik,Tuft1,1500011B03Rik,Rpl10a,Nudt10,Fhod1
Matn4,Il10rb,Zfp57,Plk1,Rps13,Tnnt2,Itm2a
,Agrn,Pdpk1,Dnajc18,Fth1,Dlg4,Dsc2
Pgs1,Gm18588,Grk2,Ankdd1b,Gm6136,Chsy3,Tmem37
,Ajuba,Atp6v0b,2700099C18Rik,Rpl39,Adgrl3,Gstm5
Bscl2,Wls,Cd2ap,Wdfy3,Rps14,AC131720.3,Vps13b
,Myl12b,Leprotl1,9530053A07Rik,Gm15500,Col7a1,Ypel4
Cyp4v3,Osbpl9,Flnb,Cdca8,Rps12l1,Tcaf2,Agfg1
,Piezo1,Pip5k1a,Gpd1,Gm9794,Csgalnact1,Zfp750
Slc39a8,Vamp8,Osbpl3,Evpl,Gm10240,Sema6d,Dab2
,Hdac5,Mak16,Dtl,Rpl28,Lpar1,Pigk
Megf9,Anxa5,Smim15,Zfp385b,Rps5,Pstpip1,Gm12966
,Jup,Fam69a,Ppp2r3a,Rpl3,Plscr4,BC026585
Bst2,Col4a2,4931406P16Rik,Kif20a,Rps17,Tgfb1,Gdpd1
,Tax1bp3,BC016579,Gm44951,Gm4294,Tmsb15b2,Rapgef1
Slc26a4,Ccnd3,Spag9,Gzme,Rpl12,Add2,Edn3
,Ano1,Sh2d1b1,Dscc1,Gm4332,Lamb1,Sytl1
B2m,Osbpl5,Ints12,Maob,Uba52,Gm44126,H2-Q2
,,Crtc2,Bcas1,Rpl7-ps7,Igsf11,Pqlc3
Prrg3,,Ercc1,Nuf2,Rpl36a,Gpx3,Plbd1
,,Togaram1,Gjb1,Gm13370,Ghr,Acss2
Slc31a1,,Gm37401,Wfs1,Gm11808,Trps1,Ppic
,,Sqstm1,Nek2,Gm11518,Stxbp1,Emc7
Ang,,Cdc42ep1,Letmd1,Rps16-ps2,Akap2,Prelid2
,,Tmem184b,Gcnt1,Rpl36a-ps2,Rnf24,Zcchc3
Mmp15,,Rusc2,Spc24,Rps10,Tead2,Gpt
,,Cpsf7,Acrbp,Gm8566,Sox5,Cul3
Gja1,,Slc25a19,Rxrg,Rps15,Selenom,Gm45752
,,Psmd8,Ccnb1,Gm12918,Map1b,March5
AC127224.2,,Rnf19a,Zkscan3,Rpl22,Adgrg3,Gm6969
,,St13,D830050J10Rik,Gstm2-ps1,Arhgef3,Rab20
Aplp2,,Ddx54,Iqgap3,Eif3f,Runx2,Mpc1-ps
,,Rab1a,Ccdc189,Rps18,Gfpt2,Commd10
Rprm,,Syf2,Snhg11,Rpl28-ps1,Dpy19l1,Dab2ip
,,Rbms1,Hist1h2ak,Rpl23a-ps3,Aqp3,Pla2g12a
Adk,,Ube2b,Wdr91,Rpl23a,Onecut2,1810059H22Rik
,,Manba,4921507P07Rik,Eef1a1,Spp1,Zfp445
Acot1,,Brd4,Slfn9,Rps27a-ps2,Mical3,AC163033.2
,,Appl1,AC165273.1,Rplp1,Snap25,Mcf2l
Irx2,,Mafg,Fcmr,Gabarap,Tpd52l1,Gm5131
,,Kdm5c,Ckap2,Gm12174,Asap1,Orm1
Znrf3,,Ammecr1l,A2ml1,Gm9843,Greb1,Sipa1l1
,,Smox,Sgce,Rps11,Gpr153,Gm4149
Mme,,Gm9892,Arhgef39,Rpl9,5830408C22Rik,Serpinf1
,,Cdv3,Smpd2,Rps25,Loxl3,Ppp4r1l-ps
Pycard,,Myc,Sgsh,Rpl35a,Flt1,Gm13443
,,Fbxw11,Ccnf,Rpl5,Kcnh2,Trim6
H2-K1,,Serinc1,Cd83,Rps26,Sdc2,Zdhhc1
,,Mrpl38,Upk1a,Rpl27,Kcnab1,Dapp1
Grb14,,Adm2,Zfp473,Btf3,Spsb1,Gm6733
,,Samd5,Rgl2,Cox7a2l,Frmd4a,Zbtb42
Oat,,Arhgap26,AL591207.3,Gm2000,St3gal2,Susd4
,,Fhl2,Kifc5b,Naca,Tspan6,Pde7a
Glipr2,,Brd2,Elf5,Gm10076,Wipf1,Dtna
,,Cdc42bpb,Herc3,CT010467.1,Ifi203,Fkbp11
Chsy1,,Fam13b,Cdc25c,Rpsa-ps10,Cdyl2,Mapkapk3
,,Apba3,Csf2rb,Rps2,D630003M21Rik,Ckmt1
Nfkbia,,Clu,2900005J15Rik,,Gm14005,Pigyl
,,Pdcd2,Ncapg2,,Unc5b,Atmin
Kcne2,,Mpp5,Harbi1,,Cmtm3,Tmprss4
,,Tnip1,Rassf4,,Speg,Zfp942
Trpm6,,Ccdc22,Cdc7,,AC155293.1,Mpc2
,,Stx11,Zfp629,,2610203C20Rik,Fdx1
Gm11771,,Rc3h1,Hps1,,Bhlhe41,Gpr146
,,Ggps1,Gas2l3,,Ier5l,Zfp598
C6,,Rabgef1,Bcl9l,,Padi2,Gga1
,,Heatr5a,Bmp3,,Cdh17,Mroh1
Rasl11a,,Arpc5,Mcm8,,Angptl2,Gm12251
,,Gm14253,Gm26945,,Rps6ka2,Scamp5
Tbc1d30,,Eif2s2,Irf8,,Dock8,Rnf11
,,Tjp2,Aspm,,Gm14418,Prrc1
Stard8,,Tars,Bambi,,Ngf,Ppp2cb
,,Eif1,Ly6g6e,,Tdpx-ps1,Phlda2
Rab9,,Wasf2,Lrr1,,Col4a6,Yod1
,,Atf4,Creld1,,Rgmb,Daam2
Enpep,,Rictor,Hexdc,,Rara,Coro2b
,,St14,Xkr5,,Gpc2,1700017B05Rik
Sema4f,,Krt23,Arap1,,Prrt2,Irf2bp2
,,Atp6ap2,Syap1,,Slc29a1,Rarg
Hmgcs1,,Sfn,Cep128,,Tmsb15l,Arnt
,,Krt18,Igfbp5,,Kcnn4,Igfbp7
Esam,,Smg1,Nudt7,,Nid1,Rgs3
,,Rela,Dna2,,5031439G07Rik,Apoc1
Car8,,Fzd5,Gzf1,,L3mbtl3,Plpp5
,,Pogk,1190005I06Rik,,Hip1,Eps8
Elfn1,,Slc3a2,Cdca3,,Meis3,Mta3
,,Ube2d3,Itpr2,,Lmcd1,Neu1
Atp6v1c2,,Fosl2,Hsd17b14,,Homer3,Gm26804
,,2810403A07Rik,Polq,,Cbfb,Tmed7
Ppp1r14c,,Tsg101-ps,Prrt1,,Ttyh2,Lgmn
,,AC160980.1,Tmc8,,Il17ra,Eif4g3
Nrp1,,Cct2,Ttk,,Hsp25-ps1,H1f0
,,Krt80,Atp8b1,,B4galt5,Pmvk
H2-D1,,Ccng2,Ppp1r36,,Gm9347,Pex11b
,,Kbtbd2,Fam83d,,Fmnl3,Pias3
Cd74,,Comtd1,Bpifa1,,Ap3m2,Fam43a
,,Tpd52l2,Orai1,,Myo10,Terf2ip
Abcd3,,Txndc9,Cdk1,,Stk10,Naprt
,,Gm13050,Brat1,,Eml1,Vsig2
Foxo3,,Trmt10c,Rab13,,Ptk2b,Slpi
,,Rab6a,Nmral1,,Zfpm1,Gm10221
Afap1l1,,Arl8a,Echdc3,,Rab7b,Zfp1
,,March7,Hpgds,,Gm14434,1810062G17Rik
Ubc,,Actr2,Sapcd2,,Dst,Pfdn2
,,Akirin1,Parp11,,Gpr39,Gnl1
Mid1ip1,,Smg7,Adtrp,,Tmem198b,Vps18
,,Mindy3,Hist1h2af,,Gm11557,Smpdl3b
Dusp1,,Eea1,Ambra1,,Gm14322,Alas1
,,Neat1,Gm9847,,Smad7,Gpatch2l
Sntb1,,,Mcm10,,,
,,,Maml3,,,
Gm20186,,,Slc15a1,,,
,,,Tpx2,,,
Pfkfb2,,,Acss1,,,
,,,Tmem171,,,
Pfkfb4,,,Mki67,,,
,,,Prr36,,,
Txlng,,,Trim23,,,
,,,Dlgap5,,,
Emb,,,Rassf9,,,
,,,Rab24,,,
Gadd45b,,,Spc25,,,
,,,Rsf1,,,
Prnp,,,4833418N02Rik,,,
,,,Anln,,,
Hacd3,,,Shank2,,,
,,,Arsg,,,
Chia1,,,Kif14,,,
,,,Capn1,,,
Add3,,,Gcnt3,,,
,,,Cenpu,,,
Plk2,,,Fat2,,,
,,,Sugct,,,
Etv5,,,Ube2c,,,
,,,Ints6l,,,
Hap1,,,E330009J07Rik,,,
,,,Kif18b,,,
Scarb2,,,Zbtb20,,,
,,,Slc25a47,,,
Rilp,,,Ccne1,,,
,,,Gm20342,,,
Ank3,,,AC124426.5,,,
,,,Cenpw,,,
Ogdh,,,Fcgrt,,,
,,,Myzap,,,
Hmgcr,,,E2f7,,,
,,,Sec24d,,,
Gm45236,,,Coro6,,,
,,,Cenpn,,,
Eif4e3,,,Txnip,,,
,,,Borcs5,,,
Iah1,,,Hist1h1b,,,
,,,Prepl,,,
Oaz2,,,Tceanc,,,
,,,E2f8,,,
Anpep,,,Bmf,,,
,,,Gm26581,,,
Inpp4b,,,Cdca5,,,
,,,Pbld2,,,
Sord,,,Tmem136,,,
,,,C330027C09Rik,,,
Cpm,,,Rab11fip3,,,
,,,Cdk18,,,
Lrg1,,,Gm13237,,,
,,,Entpd7,,,
Nav2,,,Mtm1,,,
,,,Timeless,,,
St6galnac2,,,Tmem150b,,,
,,,Arhgap27os1,,,
Btg2,,,Cit,,,
,,,Rab19,,,
Ipo13,,,Gm16531,,,
,,,Ddias,,,
Usp8,,,Zbtb24,,,
,,,Ndrg4,,,
Nkd1,,,Kif15,,,
,,,Rfxank,,,
BC005537,,,Arhgap6,,,
,,,Ska3,,,
Ldhb,,,Hmbox1,,,
,,,Gm10825,,,
Lgi3,,,Tacc3,,,
,,,Gm27000,,,
Entpd1,,,Gch1,,,
,,,Kifc1,,,
Idi1,,,Gm20463,,,
,,,Pparg,,,
Dcaf11,,,Ccne2,,,
,,,Hhat,,,
Sort1,,,Pink1,,,
,,,Bub1b,,,
Gde1,,,Papss2,,,
,,,Pid1,,,
Ramp1,,,Pif1,,,
,,,Parm1,,,
Ppp1r15a,,,Emc9,,,
,,,Bard1,,,
Cbr2,,,Mdm4,,,
,,,Naip2,,,
Ift20,,,Aurka,,,
,,,Unc119,,,
H2-Ab1,,,Rcan3,,,
,,,Ndc80,,,
Amotl2,,,Akr1b10,,,
,,,Smpd5,,,
Acot2,,,Fancd2,,,
,,,Fahd1,,,
Pde4d,,,Xpc,,,
,,,Cenpf,,,
Phlda1,,,Ugt1a6a,,,
,,,Nudt18,,,
Lamp3,,,Hist1h2ao,,,
,,,Ppp1r9a,,,
Hnmt,,,Ocrl,,,
,,,Cenpi,,,
Npr1,,,Tet2,,,
,,,Tcta,,,
Prps2,,,Cenpp,,,
,,,Senp7,,,
Ddx5,,,Acy3,,,
,,,Racgap1,,,
Chchd10,,,Cybrd1,,,
,,,Cyp3a13,,,
Slc25a51,,,Pole2,,,
,,,Atg14,,,
Ifrd1,,,Cog3,,,
,,,Sgo2a,,,
Socs2,,,Ppp1r3c,,,
,,,Mkrn2os,,,
Atp8a1,,,Hist1h3i,,,
,,,Pcca,,,
Egfl6,,,D5Ertd579e,,,
,,,Ube2t,,,
Itga9,,,Surf1,,,
,,,Rab3b,,,
Tmem30a,,,Ncapd2,,,
,,,Tug1,,,
Sec14l4,,,Perm1,,,
,,,Cenpa,,,
Ctsc,,,Swt1,,,
,,,AC121094.1,,,
App,,,Hist1h3c,,,
,,,Mmgt2,,,
Chil1,,,Gm15512,,,
