lowerSpike
Rab25
Dsg3
Ehf
Gk
Rnh1
Atp11b
Vsig10l
Endod1
Sh3kbp1
Mvk
Akr1b8
Ovol1
Nupr1
Ctsd
Aqp3
Tmprss11e
Gale
Ccdc71l
Zfp750
Crb3
Pkp1
Pgd
Serp1
2610528J11Rik
Gde1
Rab24
Tuba1c
1110008P14Rik
Urah
Lce3c
Rnf11
BC100530
H13
Tram1
Ifi204
Esd
Smpd1
Cbr3
Tpm2
Carhsp1
Hmgcr
Ppp2r5a
Ube2m
Lad1
Mapk13
Pkp3
Wdr1
Eif6
Cap1
Kdm5b
Rab10
Pdzk1ip1
Tsg101
Anxa1
Dusp22
Cltb
Bod1
Cdkn1a
Arf6
Ptges
Abhd5
Htatip2
Cdh1
Samhd1
Ptprz1
Sprr2f
Homer3
Arpc1a
Rcn1
Cd81
Ly6d
Rbms1
Defb1
Cblc
Calr
Cemip
Acat2
Actn4
Cmpk1
Klf4
Jup
Akr1b3
Ttc22
Clint1
Hmgcs1
Eif4ebp1
Ndufa4
Vps53
Atp6v1a
Bambi
Phlda2
Sprr3
Higd1a
S100a16
Eps8l2
Nipal1
Map3k6
Areg
Pls3
Lrrfip1
Larp4b
Epha2
Ecm1
Napa
Gipc1
Gpi1
2200002D01Rik
Hspa5
Abhd6
Atp6v0b
Gba
Sppl3
Atp2a2
Leprotl1
Id1
Dmkn
Gmppb
Mdfi
Atp6v0d1
Atp6v1d
Rdh12
Sgpp2
Stx19
Tmem9b
Ly6a
Acly
Cope
Pgk1
AC160336.1
1810037I17Rik
Fam162a
Nsdhl
Cdkn2a
Nectin1
Cpeb2
Mien1
Stard10
Ldha
Plbd1
Tspan3
Sc5d
Dstn
Polr3g
Xdh
Dbi
Ankrd22
Kmt5a
Map4k4
Selenos
Dsp
Cltc
Map7d1
Rab1a
Kctd11
Rala
Grhl1
Mindy1
Manf
Vsig8
Nudt4
Ubl4a
Txn1
Klf3
Ppp2r2a
Wnk1
Erp44
Pycard
Tfg
Elf3
Gsr
Gid8
Cdc42ep5
Anp32a
Smap1
Pgam1
Tnfaip2
Zfand6
Capns1
Hspb1
Slc30a4
Plk2
Serpinb2
Cstb
Tmem51
H2afj
Mindy3
Them5
Trabd
Ankrd9
Plekhn1
Prdx5
Atp2b1
Atp6v1g1
Sytl1
Nipal2
Fdx1
Scamp2
Pdcd6ip
Epn3
Usp25
Cldnd1
Rac1
Ckap4
Dpp3
Sat1
Ufm1
Arpc5l
Spcs2
Cst6
Sqor
Uck2
Macf1
Srxn1
Dnajb6
Eno1
Tmem238
Tpd52
Psmd13
Ostf1
Ppp1cb
Ces2g
Txndc17
Lamtor1
Psmd7
Tmem41a
Stard4
Prelid1
Dusp7
Spata7
Marcks
Stn1
S100a14
Sfn
Chmp2a
P2ry2
Lpgat1
Perp
Sdc1
Rit1
Emc4
Cast
Ostc
Fgfbp1
Dynll1
Mrpl17
Rab3d
Calm1
Chmp4b
Arg1
Slc10a6
Tpi1
Cttn
Lss
Nme1
Nhp2
Pcdh1
Tmem41b
Capzb
Ppib
Rps6kb2
Morf4l2
Tacstd2
Myo18a
Sptlc2
Mocs2
Ccdc12
Pdia3
Psmc4
Acadl
Bnip3l
P3h4
Avpi1
Gng12
Zdhhc5
Ly6c1
Tpm4
Psmc5
Tax1bp3
Pacsin3
Anxa7
Aacs
Krt17
Eif5
Tbcb
Pkm
Ppp2ca
Degs1
Rab6a
Aldoa
Slc31a2
Pdcd5
Sec11c
Krt14
Cmas
Ezr
Ptbp3
Pde12
Gars
Pof1b
Uba1
Stap2
Eif3c
Sdr16c5
Vat1
Dad1
Sar1b
Slk
Ppp1ca
Ralb
Tmed9
Ripk4
Arf1
Zbtb7a
Ptpn13
Spint2
Ralbp1
Serpinb5
Hsd17b12
Ssr4
Dnajc3
Pld3
Phlda3
Ddost
Map2k2
Hspa1a
Erg28
AC168977.1
Sec61b
Sptssa
Mrps25
Mpdu1
Mapk3
Ehd1
Arpc2
Gapdh
Actr2
Dnajb11
Yif1a
Lrp1
Tmbim4
Vamp8
Ptk6
Rbbp6
Ssr3
Arpc5
Capg
Snf8
Ufc1
Hprt
Dda1
Capza1
Thbd
Nars
Max
Klf10
Esrp1
Actr3
Eif4g1
Klf5
Psenen
Cebpa
Csnk1a1
Klc3
Chmp2b
Tjp1
Psmb6
F11r
Ppp3ca
Sprr2e
Pa2g4
Grpel1
Rhod
Dusp5
Cib1
Taldo1
Ormdl2
Eif5a
Akr1a1
Kif5b
Tmod3
Nfe2l2
Ap2s1
Lman2
Tcf25
Emc6
Eif1ad
Gabarap
Hras
Uba5
Gpx1
Slc25a17
Gm16136
Ap3s1
Zfp706
Jpt1
Ywhab
Mob4
Chmp1a
Iffo2
Med10
Ctnnd1
Pold4
Tmem147
Gnai3
Dynlt3
Etfb
Ywhaz
Casp14
Prdx2
Cox6b1
Tmem167
Selenok
S100a11
Clic1
Lamtor2
Pafah1b1
Ahnak
Txndc9
Acap2
Actg1
Ctnnb1
Ppdpf
Acss2
Glo1
Reep4
Emc3
Mdh2
Ube2n
Rassf7
Gng5
Dbnl
Arpc3
Epn1
Fam83a
Ebp
Pcbp1
Pfdn1
Psmd11
Hsp90b1
Ctbp2
Usp4
Adrm1
Pea15a
Hdlbp
0610012G03Rik
Pdia6
Gorasp2
Tmbim6
Ank3
Rab2a
Trim29
Tmed2
Trappc1
Il17rc
Hsbp1
Sec61g
Sin3b
Romo1
Camk1d
Csnk2b
Rars
Rab14
Sh3glb1
Tubb4b
Pfkl
Ide
Psmd14
Tmem54
Hsdl2
Abhd12
Ccdc124
Glrx3
Krcc1
Atp6v0e
Eif3i
Psmb5
Ppp4c
Nans
Clcf1
Ube2d3
Psmb2
Kif1b
Psmb4
Tnfrsf23
Mlx
Ak2
Car13
Pgap2
Camk2d
Pfn1
Ier3
Psmc1
Fam83g
Tmbim1
Stom
Arl8b
Hspa1b
Selenow
Vdac1
Ube2l3
Hars
Uqcrq
Nbeal2
Psma2
Ehd4
Rbm3
Sh3bgrl3
Qars
Ap1s1
Gpr87
Cebpb
Ywhag
Mal
Mapk14
Tmed10
Unc45a
Sec61a1
Eif4a1
Psma7
Klf7
Srp9
Actb
Gnb1
Ubc
Eif3b
Kdelr1
Got2
Eif4g2
Serbp1
Vcp
Smdt1
Psmb3
Cdc42se1
Slc25a5
Slc25a3
Mindy2
Mtch2
Ckmt1
Npc2
Polr1d
Atp5b
D8Ertd738e
Tmigd1
Acot7
Slc20a1
Dedd2
Syngr2
Uso1
Psmd8
Cwh43
Ier5
Pomp
Rexo2
Psmd2
Lipm
Prdx1
Zfp185
Tcim
Taf10
Ctnnbip1
Mfsd5
Hopx
Brk1
Acot9
Aes
Atp5f1
Med25
Agpat2
Cox5a
Abracl
Fth1
Uqcrfs1
Vmp1
Ndufb9
Aldh1a3
Eef1g
Sertad2
Tbrg1
Cdc42
Hagh
Copb1
Tmem160
Uqcrb
Lamp1
Tgfa
Tom1
Sub1
Chmp1b
Tnks1bp1
Psmd4
Snx17
Mast4
Mpp7
Mlf2
Arf5
8-Sep
Stub1
Cd44
Anxa8
Atp5d
Bsg
Kdelr2
Limk2
Bicd2
Zfp36l1
Pgls
Surf4
Cyc1
Afdn
Hist1h2bc
Rab18
Anxa2
Edf1
Snx8
Eif4e2
Pard6g
Rad23b
Cyth2
Atp6v1e1
Ndufb8
Serinc2
Ndufs6
Sod2
Mrpl33
Nop10
Arpp19
Srebf2
Btbd3
Igsf8
Emp1
Me1
Rps3
Junb
Rer1
Itm2b
Rnf10
Cdc34
Ldlr
Mydgf
Mrpl20
Myl12a
Ubxn4
Btf3
Pla2g4e
Gdi2
Cd9
Qsox1
Elof1
Agpat3
Slc31a1
Atxn7l3b
Nuak2
Canx
Chchd2
Gnb2
Uqcr11
Acsl1
Hnrnpa3
Arpc4
Phf20l1
Slc35b1
Srp72
Bzw1
Pitpna
Actn1
Diaph1
Laptm4a
Riok3
Dohh
Spcs1
Psmb7
Vps29
Dnaja2
Ift20
Bfsp1
Chmp4c
Cox6a1
Myl6
Dusp14
Rps5
Nus1
Scp2
Mrpl28
Rpn2
Tmem208
Gpd2
Rpl18
Ssr1
Atf5
Mrps14
Rps13
Sra1
Zfand5
Fut2
Ctsb
Uqcrc2
Ssna1
Atf4
Ndufb7
Elob
Timm13
Rhoa
Mrpl14
Swi5
Llgl2
Sh2d5
Nfe2l3
Ndufab1
Rpl22l1
2610001J05Rik
Timm10b
Trappc6a
Emc10
Kctd1
Rab7
Hmox1
Snrpd2
Uqcc2
Ssr2
Cnn3
Rack1
Ppif
Gabarapl2
Tulp4
Ndufa3
Clcn3
Rps11
Atg9b
Fis1
Serpinb6a
Tmsb10
Mrps21
Rab22a
Eif1ax
Mmadhc
Vps36
Psma3
Tsen34
Cyb5b
Rps19
mt-Co1
Eif2s2
Vapa
Psma1
Rplp0
Kcmf1
Otub1
Hspa8
Rpl8
Ndufb10
Mif
Rpl10a
Letm1
Eef1b2
Ybx1
Timm17a
mt-Nd1
Esrp2
Rps16
Chmp5
Sft2d2
Psmd12
Ssu72
Rbx1
Pdcd6
Ubxn6
Prkar1a
Rpl9
Rps6
Rps9
Sypl
Erp29
Aimp1
Sars
Rpl27a
Tmed3
Gnas
Plpp2
Cdc37
Eif3k
Lgals7
Ywhaq
Ppp1r14b
S100a6
Ran
Rpl19
Dctn6
Rps2
Mcl1
Nab1
Rpl3
Tmem234
Dph3
Fkbp8
Rab27b
Prrg4
Eif3f
Rps4x
Derl1
Ube3a
Ctsh
Atp6ap1
Arf4
Hint1
Rpl28
Rbm42
Atp5g3
